Target_E   Reached_E  Difference   Sweeps  TotalTime  Electrons  Dimension    J     K     B 
-2.0000    -1.7784   -0.2216       00100   005        1          0000000004   0.90  0.60  0.10
-2.2000    -2.1874   -0.0126       00100   005        1          0000000004   1.00  0.60  0.10
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  0.70  0.10
-0.4000    -0.3803   -0.0197       00100   005        1          0000000004   0.10  0.70  0.10
-0.6000    -0.5489   -0.0511       00100   005        1          0000000004   0.20  0.70  0.10
-0.8000    -0.7029   -0.0971       00100   005        1          0000000004   0.30  0.70  0.10
-1.0000    -0.9820   -0.0180       00100   005        1          0000000004   0.40  0.70  0.10
-1.2000    -0.5310   -0.6690       00100   005        1          0000000004   0.50  0.70  0.10
-1.4000    -1.1152   -0.2848       00100   005        1          0000000004   0.60  0.70  0.10
-1.6000    -1.3566   -0.2434       00100   005        1          0000000004   0.70  0.70  0.10
-1.8000    -1.5470   -0.2530       00100   005        1          0000000004   0.80  0.70  0.10
-2.0000    -1.9233   -0.0767       00100   005        1          0000000004   0.90  0.70  0.10
-2.2000    -2.0767   -0.1233       00100   005        1          0000000004   1.00  0.70  0.10
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  0.80  0.10
-0.4000    -0.3655   -0.0345       00100   005        1          0000000004   0.10  0.80  0.10
-0.6000    -0.5768   -0.0232       00100   005        1          0000000004   0.20  0.80  0.10
-0.8000    -0.5983   -0.2017       00100   005        1          0000000004   0.30  0.80  0.10
-1.0000    -0.5353   -0.4647       00100   005        1          0000000004   0.40  0.80  0.10
-1.2000    -1.1060   -0.0940       00100   005        1          0000000004   0.50  0.80  0.10
-1.4000    -1.2931   -0.1069       00100   005        1          0000000004   0.60  0.80  0.10
-1.6000    -1.0754   -0.5246       00100   005        1          0000000004   0.70  0.80  0.10
-1.8000    -1.7053   -0.0947       00100   005        1          0000000004   0.80  0.80  0.10
-2.0000    -1.1209   -0.8791       00100   005        1          0000000004   0.90  0.80  0.10
-2.2000    -2.1805   -0.0195       00100   005        1          0000000004   1.00  0.80  0.10
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  0.90  0.10
-0.4000    -0.3941   -0.0059       00100   005        1          0000000004   0.10  0.90  0.10
-0.6000    -0.5295   -0.0705       00100   005        1          0000000004   0.20  0.90  0.10
-0.8000    -0.7296   -0.0704       00100   005        1          0000000004   0.30  0.90  0.10
-1.0000    -0.9476   -0.0524       00100   005        1          0000000004   0.40  0.90  0.10
-1.2000    -1.0847   -0.1153       00100   005        1          0000000004   0.50  0.90  0.10
-1.4000    -1.3844   -0.0156       00100   005        1          0000000004   0.60  0.90  0.10
-1.6000    -1.5679   -0.0321       00100   005        1          0000000004   0.70  0.90  0.10
-1.8000    -1.2560   -0.5440       00100   005        1          0000000004   0.80  0.90  0.10
-2.0000    -1.6521   -0.3479       00100   005        1          0000000004   0.90  0.90  0.10
-2.2000    -2.1411   -0.0589       00100   005        1          0000000004   1.00  0.90  0.10
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  1.00  0.10
-0.4000    -0.2979   -0.1021       00100   005        1          0000000004   0.10  1.00  0.10
-0.6000    -0.3256   -0.2744       00100   005        1          0000000004   0.20  1.00  0.10
-0.8000    -0.7199   -0.0801       00100   005        1          0000000004   0.30  1.00  0.10
-1.0000    -0.8070   -0.1930       00100   005        1          0000000004   0.40  1.00  0.10
-1.2000    -1.1300   -0.0700       00100   005        1          0000000004   0.50  1.00  0.10
-1.4000    -1.1645   -0.2355       00100   005        1          0000000004   0.60  1.00  0.10
-1.6000    -1.5089   -0.0911       00100   005        1          0000000004   0.70  1.00  0.10
-1.8000    -1.4081   -0.3919       00100   005        1          0000000004   0.80  1.00  0.10
-2.0000    -1.5613   -0.4387       00100   005        1          0000000004   0.90  1.00  0.10
-2.2000    -1.8405   -0.3595       00100   005        1          0000000004   1.00  1.00  0.10
-0.4000    -0.4000    0.0000       00100   005        1          0000000004   0.00  0.00  0.20
